"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000160072",320.481167566145,-0.492441694161876,0.165330276289619,-2.97853306250596,0.00289631780231483,0.0368985591340624,"ATAD3B"
"ENSG00000041988",103.354977095594,-0.282330890909824,0.168098781952377,-1.67955346035647,0.0930442291008375,0.359645865119656,"THAP3"
"ENSG00000225630",922.811464598843,0.733031946940738,0.375565727433734,1.95180734927437,0.0509610814173857,0.256948466269815,"MTND2P28"
"ENSG00000131584",735.890219454918,-0.0534770443089165,0.219621489267436,-0.243496410516536,0.807620865443122,0.938042250793934,"ACAP3"
"ENSG00000169972",135.304762525664,-0.154869232416594,0.187044200195004,-0.827982007756103,0.407680689467014,0.727887935740202,"PUSL1"
"ENSG00000157911",166.393462134504,-0.198522453827665,0.218192034870787,-0.909851974868051,0.362900579955784,0.694364139730517,"PEX10"
"ENSG00000237973",97.5392152644927,-0.330393046071536,0.276501492568144,-1.19490510883991,0.232124106617848,0.567570845249703,"MTCO1P12"
"ENSG00000224051",312.832356969642,0.0451199634269489,0.157836668364654,0.285864900054194,0.774981598082566,0.926799885716436,"CPTP"
"ENSG00000157933",2047.22676161883,-0.0252008029862856,0.204742168378431,-0.123085552848626,0.902039351441091,0.970581996574772,"SKI"
"ENSG00000162591",3351.41463181856,1.47750908059716,0.58689024327538,2.51752196859044,0.0118183599104674,0.102044047317084,"MEGF6"
"ENSG00000116285",993.33896135488,-0.673292185149943,0.487801817885903,-1.38025763837441,0.16750733295836,0.485384336157775,"ERRFI1"
"ENSG00000142655",282.276830155519,0.197623791989583,0.151657061850039,1.30309653621667,0.192541806021572,0.51713700845819,"PEX14"
"ENSG00000007923",577.24015494947,-0.016058926809212,0.109959820890371,-0.146043588277782,0.883886978822893,0.965540827937534,"DNAJC11"
"ENSG00000171621",646.566132921249,0.385563924416556,0.234371812990832,1.64509511402567,0.0999501980439991,0.374074904816198,"SPSB1"
"ENSG00000162441",482.518053868613,-0.19309077486549,0.153784449233848,-1.25559363009371,0.209263342036994,0.539292076687233,"LZIC"
"ENSG00000227372",256.689137409462,0.0540679808075461,0.275393900640663,0.196329623429441,0.844352176414217,0.95080583820388,"TP73-AS1"
"ENSG00000142583",59.3397220420644,2.76763477354314,1.02223878058819,2.707424944249,0.00678074013375655,0.0681900415288405,"SLC2A5"
"ENSG00000107404",1303.36766169826,-0.242119271207376,0.201413681791509,-1.20209942568849,0.229325008865533,0.564954949220454,"DVL1"
"ENSG00000177000",214.787108713807,0.186591268611543,0.18582269908616,1.00413603681984,0.315313047544181,0.654051569973406,"MTHFR"
"ENSG00000069424",231.438079352389,1.13511763397924,0.274327556122104,4.13781848978377,3.50623564516456e-05,0.00141412019731032,"KCNAB2"
"ENSG00000074800",16599.6116984009,-0.17971999568418,0.240854839775974,-0.746175563054257,0.455561367928811,0.761222582302329,"ENO1"
"ENSG00000116786",1216.59049324946,0.39097398402203,0.122426208158227,3.19354809647233,0.00140535924637554,0.0226245124054113,"PLEKHM2"
"ENSG00000176022",412.42011810522,-0.0171304589060923,0.191096340069713,-0.0896430507242734,0.928570872571135,0.977499168977157,"B3GALT6"
"ENSG00000162496",1682.99530102574,0.491542735467459,0.220791467374046,2.22627595764256,0.0259957028624082,0.168841664300336,"DHRS3"
"ENSG00000173614",162.785632681269,0.115942985052264,0.172919999557883,0.67050072489419,0.50253864450148,0.789498724500407,"NMNAT1"
"ENSG00000248527",5100.91792996441,-0.219124136374028,0.277631692027293,-0.789261970684842,0.429958908661497,0.743741561416039,"MTATP6P1"
"ENSG00000116273",345.114478864795,-0.0861378629720134,0.221203033672763,-0.389406336530817,0.696975585364503,0.896658740731231,"PHF13"
"ENSG00000049245",2603.92908087886,0.235179014529853,0.146195106662154,1.60866543278589,0.107689518181281,0.3885239066964,"VAMP3"
"ENSG00000171603",5155.28502417618,0.427558456607929,0.192619841750982,2.21970100650729,0.0264390704862964,0.170724001165341,"CLSTN1"
"ENSG00000177674",445.163019152124,0.545013400740938,0.211396263027185,2.57816005324016,0.00993279790728432,0.0897582905230185,"AGTRAP"
"ENSG00000171608",211.922706845903,0.384731063064178,0.446591758907728,0.861482674926988,0.388972259125109,0.714537797357236,"PIK3CD"
"ENSG00000171729",53.8926592220801,0.604220404570809,0.497883802291096,1.21357714749985,0.224909237976818,0.559389643173111,"TMEM51"
"ENSG00000158109",1217.95941130815,0.573809980663673,0.236289267407621,2.42842168397686,0.0151646998906705,0.11912567428212,"TPRG1L"
"ENSG00000037637",308.295064954187,0.33313377377107,0.206631414150466,1.61221262091585,0.106915679797167,0.3868939631884,"FBXO42"
"ENSG00000159423",203.656158250537,-0.123549398286204,0.189421396266796,-0.652246265317289,0.514242318351027,0.79556803311343,"ALDH4A1"
"ENSG00000142599",1775.13759679403,0.135121344117255,0.206433012301067,0.65455298360996,0.512755603559824,0.794755666196909,"RERE"
"ENSG00000011021",187.119789639837,-0.10279770397639,0.141247275268438,-0.727785394663541,0.466744966498332,0.768266926920141,"CLCN6"
"ENSG00000065526",1163.87125229173,-0.220246003041479,0.182463163401585,-1.20707105442832,0.227404781089706,0.562492846187997,"SPEN"
"ENSG00000175756",766.138873529203,-0.256292414090411,0.147436926313501,-1.73831902562486,0.082154615794016,0.333401582543969,"AURKAIP1"
"ENSG00000157916",1770.06937380228,0.159961515770996,0.163242598307568,0.979900573927461,0.327135199643055,0.662045961934434,"RER1"
"ENSG00000157881",205.875761794786,-0.300286067336686,0.234128449768309,-1.28256975021124,0.199642853703484,0.526721703539267,"PANK4"
"ENSG00000116213",166.321967768294,-0.144977814672937,0.230044711968585,-0.630215810797406,0.528553396173434,0.806068696438496,"WRAP73"
"ENSG00000127463",2178.50773416506,0.0971825122910268,0.205153702562087,0.473705865784294,0.635709669847743,0.866396033451615,"EMC1"
"ENSG00000048707",966.771629449505,0.320035204119983,0.171943159511509,1.86128488640784,0.0627039563234547,0.290022541890251,"VPS13D"
"ENSG00000180758",79.3382521147509,0.469370931089758,0.377881803704815,1.24211043370697,0.214195819479519,0.54585386254458,"GPR157"
"ENSG00000184677",343.687849594877,-0.0125921110801688,0.158905892083993,-0.0792425687621004,0.93683968605113,0.980257172898276,"ZBTB40"
"ENSG00000132879",115.936220963387,0.518158765674653,0.424748609447082,1.21991868637114,0.22249570130866,0.556094115827875,"FBXO44"
"ENSG00000288398",62.1437114709292,0.0565870842295365,0.198189904380106,0.285519509212784,0.77524615998891,0.926799885716436,NA
"ENSG00000116731",533.735146390484,-0.157923337704045,0.148080102994222,-1.06647236536705,0.286210164368382,0.625296789609383,"PRDM2"
"ENSG00000131697",199.465915884448,0.186839407567903,0.248700761492914,0.751261903849164,0.452495051521074,0.760159942958674,"NPHP4"
"ENSG00000088280",291.396819987436,-0.00677478369912467,0.487382460246869,-0.0139003436760796,0.988909487542798,0.997476320536961,"ASAP3"
"ENSG00000188807",178.454943051693,-0.416677709785704,0.256244060212529,-1.62609704763541,0.103929012001138,0.381970272884758,"TMEM201"
"ENSG00000198793",918.609134163264,-0.0574617682361522,0.14757373005109,-0.389376674400375,0.696997524387825,0.896658740731231,"MTOR"
"ENSG00000116288",1552.11600817559,-0.241914445925706,0.156195351547767,-1.5487941448227,0.121431213532512,0.412833801818827,"PARK7"
"ENSG00000169504",21343.8257245762,0.313960979759272,0.364805122518438,0.860626565745123,0.3894437496597,0.714881465845986,"CLIC4"
"ENSG00000169641",1353.77916408803,0.0312509891963617,0.162430731173231,0.192395792167142,0.847432188197536,0.952110968133966,"LUZP1"
"ENSG00000233954",71.117829915355,-0.209948289033535,0.233443920080684,-0.899352139738621,0.368465123321896,0.698120469777645,"UQCRHL"
"ENSG00000055070",2212.47261728613,-0.0625430196797026,0.172410272673307,-0.36275692109259,0.71678647486802,0.904536412788143,"SZRD1"
"ENSG00000175087",87.657502458596,-0.716669892909538,0.354057036501829,-2.02416508930429,0.0429531682831982,0.232697156984198,"PDIK1L"
"ENSG00000171735",227.053008356361,-0.125115430224595,0.139318934761658,-0.898050436852955,0.369158660764655,0.698254575175799,"CAMTA1"
"ENSG00000157191",826.002404778627,0.100065271064433,0.117968263279583,0.848238910047185,0.396304931714421,0.719470431586735,"NECAP2"
"ENSG00000133226",1027.15340323521,-0.191007139412537,0.154230329029997,-1.23845381523751,0.215547836920944,0.547442884732843,"SRRM1"
"ENSG00000090273",1325.7261244839,-0.372874962940091,0.174501680790488,-2.13679869013855,0.0326143687290825,0.194266543001134,"NUDC"
"ENSG00000142751",326.796499113837,0.0825458301943766,0.160790450084659,0.51337520450322,0.607688886828255,0.851086528331339,"GPN2"
"ENSG00000189266",609.845632568227,-0.361766900369967,0.231758882733127,-1.56096239377606,0.118532624171021,0.407316367274679,"PNRC2"
"ENSG00000204138",315.739586537892,-0.541584665555417,0.154027940135564,-3.51614561019745,0.000437860774311036,0.00979038435723931,"PHACTR4"
"ENSG00000116237",2028.61229583442,-0.160853470374213,0.134105483772502,-1.19945483099771,0.230351138140404,0.565382063305361,"ICMT"
"ENSG00000158195",1947.9984295721,-0.379262260007639,0.174126318513467,-2.17808693852507,0.0293995648299271,0.182768919760992,"WASF2"
"ENSG00000130772",162.512702062641,-0.00160087786522528,0.168703483749891,-0.00948929938873486,0.9924287481529,0.997762200476261,"MED18"
"ENSG00000204160",313.29001863161,0.205998997838185,0.152082764543045,1.35451902427694,0.175570848137629,0.495642858762239,"ZDHHC18"
"ENSG00000090020",1091.75447347913,0.377097258858568,0.197995351398832,1.90457632562778,0.0568351664285932,0.275041288501616,"SLC9A1"
"ENSG00000157978",441.512834092534,0.382272267364779,0.393812236850833,0.970696772709924,0.331699299443234,0.666267819563172,"LDLRAP1"
"ENSG00000130770",845.165185792579,0.179251573810584,0.227414282202133,0.788215990987144,0.43057037706001,0.744211300194171,"ATP5IF1"
"ENSG00000117305",276.139973269533,0.0708866348247271,0.173204579614118,0.409265361127606,0.68234493279761,0.890616457167107,"HMGCL"
"ENSG00000162512",1892.38686937332,0.638143250967274,0.260451714242147,2.45014033723725,0.0142800545886166,0.115066307373889,"SDC3"
"ENSG00000198746",73.7647119988532,-0.434718635829326,0.222755033647971,-1.95155471331045,0.050991094362898,0.256984384151849,"GPATCH3"
"ENSG00000158006",205.370398672449,0.153406501685109,0.157163366133877,0.976095800559732,0.32901699222168,0.664100411272153,"PAFAH2"
"ENSG00000188529",1167.14495407865,-0.356988454416064,0.123729715735307,-2.88522811431784,0.00391130141400037,0.0458292090756649,"SRSF10"
"ENSG00000142784",686.514945589807,0.179705499281577,0.200849305036497,0.894728011376101,0.370932500994863,0.699853688322944,"WDTC1"
"ENSG00000117682",722.809534554158,0.205271441746999,0.136088853580362,1.5083633695671,0.131461552720762,0.431767954987338,"DHDDS"
"ENSG00000126698",1135.12434578215,-0.179024920564567,0.108371901681096,-1.65194960859302,0.0985448238461043,0.371545599613083,"DNAJC8"
"ENSG00000130766",585.666687732394,0.638081648827241,0.457003131070793,1.39623036571362,0.162645135314663,0.478169833844719,"SESN2"
